Date	Branch	p	max	min	avg	
29/10/2015	Sagara	Idi	29129	27889	28000	
29/10/2015	Sagara	20719	20719	18699	19000	
29/10/2015	Sagara	Gotu	12889	11999	12000	
29/10/2015	Sagara	24719	24719	20009	22500	
29/10/2015	Sagara	59889	59889	59889	59889	
02/11/2015	Sagara	Idi	28699	27099	27800	
02/11/2015	Sagara	24199	24199	22649	23300	
02/11/2015	Sagara	21899	21899	19019	20400	
02/11/2015	Sagara	25199	25199	23209	24100	
02/11/2015	Sagara	Gotu	13109	10569	11800	
16/11/2015	Sagara	Idi	29319	27119	28200	
16/11/2015	Sagara	23629	23629	19699	21600	
16/11/2015	Sagara	25009	25009	24500	24700	
16/11/2015	Sagara	Gotu	12919	12129	12500	
23/11/2015	Sagara	Idi	29139	27310	28000	
23/11/2015	Sagara	22869	22869	17279	19000	
23/11/2015	Sagara	25400	25400	22600	23500	
23/11/2015	Sagara	Gotu	13269	11200	12900	
23/11/2015	Sagara	61911	61911	61911	61911	
26/11/2015	Sagara	Idi	29109	27099	28050	
26/11/2015	Sagara	21899	21899	19899	20899	
26/11/2015	Sagara	25428	25428	22109	23700	
26/11/2015	Sagara	Gotu	13179	12789	12900	
30/11/2015	Sagara	Idi	28809	27300	28000	
30/11/2015	Sagara	23169	23169	21569	22300	
30/11/2015	Sagara	25526	25526	22409	23900	
30/11/2015	Sagara	Gotu	13149	13059	13100	
03/12/2015	Sagara	Idi	28419	27500	27900	
03/12/2015	Sagara	23699	23699	20199	21800	
03/12/2015	Sagara	25478	25478	22870	24100	
03/12/2015	Sagara	Gotu	13419	12609	13000	
07/12/2015	Sagara	Idi	28319	26830	27500	
07/12/2015	Sagara	23919	23919	21099	22500	
07/12/2015	Sagara	25380	25380	22569	23900	
07/12/2015	Sagara	Gotu	13419	11069	12200	
14/12/2015	Sagara	Idi	28049	26499	27200	
14/12/2015	Sagara	21399	21399	21010	21200	
14/12/2015	Sagara	25110	25110	24229	24600	
14/12/2015	Sagara	Gotu	11509	10889	11100	
17/12/2015	Sagara	Idi	27230	25769	26400	
17/12/2015	Sagara	21899	18699	20200		
17/12/2015	Sagara	24910	23610	24200		
17/12/2015	Sagara	Gotu	13059	12349	12600	
21/12/2015	Sagara	Idi	27199	26070	26500	
21/12/2015	Sagara	21569	19899	20600		
21/12/2015	Sagara	24710	23029	23800		
21/12/2015	Sagara	Gotu	12809	11069	11900	
28/12/2015	Sagara	Idi	28399	27210	27700	
28/12/2015	Sagara	Rashi	Idi	27630	27189	27300
28/12/2015	Sagara	21504	19069	20200		
28/12/2015	Sagara	24509	21569	23000		
28/12/2015	Sagara	Gotu	12699	9569	11000	
31/12/2015	Sagara	Rashi	Idi	28759	27659	28100
31/12/2015	Sagara	Rashi	Idi	28459	27460	27900
31/12/2015	Sagara	21899	20819	21300		
31/12/2015	Sagara	24810	22159	23400		
31/12/2015	Sagara	Gotu	10629	9759	10100	
04/01/2016	Sagara	Rashi	Idi	28669	27699	28100
04/01/2016	Sagara	Rashi	Idi	28819	27159	27900
04/01/2016	Sagara	24129	21359	22700		
04/01/2016	Sagara	25020	22499	23700		
04/01/2016	Sagara	Gotu	12789	9069	10800	
07/01/2016	Sagara	Rashi	Idi	27869	26869	27300
07/01/2016	Sagara	Rashi	Idi	27610	26409	27000
07/01/2016	Sagara	21901	19085	20400		
07/01/2016	Sagara	25080	22110	23500		
07/01/2016	Sagara	Gotu	12809	9569	11100	
11/01/2016	Sagara	Rashi	Idi	28370	27379	27800
11/01/2016	Sagara	Rashi	Idi	28170	27069	27500
11/01/2016	Sagara	22699	19899	21200		
11/01/2016	Sagara	26509	21669	24000		
11/01/2016	Sagara	Gotu	13095	9129	11100	
14/01/2016	Sagara	Rashi	Idi	28829	27439	28100
14/01/2016	Sagara	Rashi	Idi	28819	28109	28400
14/01/2016	Sagara	22770	18029	20300		
14/01/2016	Sagara	26380	21489	23800		
14/01/2016	Sagara	Gotu	13149	9569	11300	
14/01/2016	Sagara	Rashi	Idi	28829	27439	28100
14/01/2016	Sagara	Rashi	Idi	28819	28109	28400
14/01/2016	Sagara	22770	18029	20300		
14/01/2016	Sagara	26380	21489	23800		
14/01/2016	Sagara	Gotu	13149	9569	11300	
21/01/2016	Sagara	Idi	28730	26199	27400	
21/01/2016	Sagara	23599	21089	22200		
21/01/2016	Sagara	26608	20919	23700		
21/01/2016	Sagara	Gotu	11655	9269	10400	
25/01/2016	Sagara	Idi	28610	27009	27800	
25/01/2016	Sagara	22729	21069	21800		
25/01/2016	Sagara	25898	21599	23600		
25/01/2016	Sagara	Gotu	11689	9289	10400	
28/01/2016	Sagara	Idi	28409	26710	27500	
28/01/2016	Sagara	22889	18786	20700		
28/01/2016	Sagara	25508	21109	23300		
28/01/2016	Sagara	Gotu	13055	8289	10600	
01/02/2016	Sagara	Idi	28409	27399	27800	
01/02/2016	Sagara	22619	17599	20000		
01/02/2016	Sagara	24180	20829	22400		
01/02/2016	Sagara	Gotu	12429	8269	10300	
04/02/2016	Sagara	Idi	28310	26009	27100	
04/02/2016	Sagara	22509	17569	20000		
04/02/2016	Sagara	22599	21372	21900		
04/02/2016	Sagara	Gotu	10129	8369	9200	
08/02/2016	Sagara	Idi	27359	26010	26600	
